label   RA          DEC             v       u_v
C1      23:49:42.65 −56:38:19.4     15.     4.
C2      23:49:43.25 −56:38:30.1     -544.   2.
C3      23:49:42.78 −56:38:23.8     -86.    11.
C4      23:49:41.41 −56:38:22.5     -83.    13.
C5      23:49:42.13 −56:38:25.8     235.    6.
C6      23:49:42.84 −56:38:25.1     471.    3.
C7      23:49:42.96 −56:38:18.1     631.    3.
C8      23:49:41.22 −56:38:24.6     -22.    4.
C9      23:49:42.22 −56:38:28.1     153.    6.
C10     23:49:43.45 −56:38:26.2     -819.   6.
C11     23:49:42.36 −56:38:25.7     -409.   6.
C12     23:49:42.86 −56:38:23.9     -615.   7.
C13     23:49:42.73 −56:38:25.1     264.    17.
C14     23:49:43.27 −56:38:23.1     101.    5.
C15     23:49:41.42 −56:38:14.9     -107.   8.
C16     23:49:42.73 −56:38:25.8     231.    16.
C17     23:49:43.41 −56:38:20.9     49.     7.
C18     23:49:41.67 −56:38:13.9     -328.   13.
C19     23:49:43.86 −56:38:43.4     -441.   8.
C20     23:49:42.28 −56:38:24.0     -557.   8.
C21     23:49:43.01 −56:38:27.0     124.    7.
C22     23:49:42.51 −56:38:27.4     163.    3.
C23     23:49:42.61 −56:38:26.7     112.    6.
NL1     23:49:40.55 -56:38:06.0
NL3     23:49:44.73 -56:38:40.0
N1      23:49:42.53 -56:37:33.2     480.    10.
N2      23:49:43.53 -56:37:16.7     493.    22.
N3      23:49:40.75 -56:37:33.9     1532.   29.
NL2     23:49:43.43 -56:37:35.4
SPIREc1 23:49:24.95 -56:35:38.6     -1148.  12.
SPIREc2 23:49:22.78 -56:35:28.4     -1326.  35.
SPIREc3 23:49:24.79 -56:35:12.8     -1274.  21.
