label2  Mgas        Mdyn        u_Mgas      V           method
A       12.0        115.0       2.1         -90         CO43
B       11.2        84.0        2.          -124        CO43
C       6.7         14.0        1.2         603         CO43
D       8.4         175.0       1.5         -33         CO43
E       4.8         24.0        0.9         84          CO43
F       3.4         124.0       0.7         395         CO43
G       2.9         12.0        1.3         308         Cii
H       4.4         44.0        2.          -719        Cii
I       2.2         53.0        0.5         310         CO43
J       2.2         23.0        0.5         -481        CO43
K       3.1         15.0        1.4         631         Cii
L       3.3         24.0        1.5         -379        Cii
M       1.2         4.0         0.6         34          Cii
N       1.0         9.0         0.5         90          Cii
