label,Mgas,Mgas_method,Mgas_source,M*,M*_method,M*_source,Mvir
C1,16.46082373224131,CO43,Hill_2020,24.691235598361963,fgas=0.4,Hill_2020,2469.1235598361964
C2,4.609030645027567,CO43,Hill_2020,6.5,SEDfit,Hill_2021,650.0
C3,9.437538939818351,CO43,Hill_2020,4.044659545636437,fgas=0.7,Hill_2020,404.46595456364366
C4,6.584329492896524,CO43,Hill_2020,2.8218554969556533,fgas=0.7,Hill_2020,282.1855496955653
C5,2.4142541473953925,CO43,Hill_2020,1.0346803488837397,fgas=0.7,Hill_2020,103.46803488837398
C6,7.462240091949393,CO43,Hill_2020,13.9,SEDfit,Hill_2021,1390.0
C7,2.1947764976321746,CO43,Hill_2020,0.9406184989852178,fgas=0.7,Hill_2020,94.06184989852177
C8,5.267463594317219,CO43,Hill_2020,5.0,SEDfit,Hill_2021,500.0
C9,1.9752988478689573,CO43,Hill_2020,0.846556649086696,fgas=0.7,Hill_2020,84.6556649086696
C10,2.4142541473953925,CO43,Hill_2020,1.0346803488837397,fgas=0.7,Hill_2020,103.46803488837398
C11,0.6584329492896523,CO43,Hill_2020,2.0,SEDfit,Hill_2021,200.0
C12,2.1173212362864766,Cii,Hill_2020,0.9074233869799186,fgas=0.7,Hill_2020,90.74233869799187
C13,1.7558211981057399,CO43,Hill_2020,0.7524947991881743,fgas=0.7,Hill_2020,75.24947991881743
C14,0.43895529952643497,CO43,Hill_2020,2.4,SEDfit,Hill_2021,240.0
C15,1.333427496134613,Cii,Hill_2020,1.2,SEDfit,Hill_2021,120.0
C16,0.8970330428541944,Cii,Hill_2020,0.3844427326517976,fgas=0.7,Hill_2020,38.44427326517976
C17,0.7515682250940547,Cii,Hill_2020,1.5,SEDfit,Hill_2021,150.0
C18,0.6949985737428892,Cii,Hill_2020,0.6,SEDfit,Hill_2021,60.0
C19,0.6869171949784371,Cii,Hill_2020,0.29439308356218735,fgas=0.7,Hill_2020,29.439308356218735
C20,0.4121503169870622,Cii,Hill_2020,2.5,SEDfit,Hill_2021,250.0
C21,0.282848256755827,Cii,Hill_2020,0.121220681466783,fgas=0.7,Hill_2020,12.1220681466783
C22,0.26668549922692264,Cii,Hill_2020,0.11429378538296685,fgas=0.7,Hill_2020,11.429378538296685
C23,0.22627860540466163,Cii,Hill_2020,0.09697654517342642,fgas=0.7,Hill_2020,9.697654517342642
LBG3,0.26,SFR,Rotermund_2021,1.0,SEDfit,Hill_2021,100.0
LBG2,0.23399999999999999,SFR,Rotermund_2021,0.10028571428571428,fgas=0.7,Rotermund_2021,10.028571428571428
LAE-ID72,0.05677989609666341,SFR,Rotermund_2021|Apostolovski,0.02433424118428432,fgas=0.7,Rotermund_2021|Apostolovski,2.433424118428432
LAE-ID21,0.012773965198115217,SFR,Apostolovski,0.0054745565134779505,fgas=0.7,Apostolovski,0.5474556513477951
LAE-ID56,0.004761388144208877,SFR,Apostolovski,0.0020405949189466616,fgas=0.7,Apostolovski,0.20405949189466616
LAE-ID109,0.005954840541411185,SFR,Apostolovski,0.002552074517747651,fgas=0.7,Apostolovski,0.25520745177476506
LAE-ID74,0.009101192458681635,SFR,Apostolovski,0.0039005110537207012,fgas=0.7,Apostolovski,0.3900511053720701
LAE-ID91,0.008179521269335138,SFR,Apostolovski,0.003505509115429345,fgas=0.7,Apostolovski,0.3505509115429345
LAE-ID118,0.007968356711129068,SFR,Apostolovski,0.003415010019055315,fgas=0.7,Apostolovski,0.3415010019055315
