    label      Mgas Mgas_method                 Mgas_source        M* M*_method                   M*_source       Mvir          M     fgas    fdisk           RA           DEC        v   u_v            x           y           r
       C1 16.460824        CO43                   Hill_2020  7.054639  fgas=0.7                   Hill_2020 157.090358 180.605821 0.700000 0.130203  23:49:42.65   −56:38:19.4    15.00  4.00     4.295969   33.087626   38.244341
       C2  4.609031        CO43                   Hill_2020  6.500000    SEDfit                   Hill_2021 144.739846 155.848877 0.414890 0.071281  23:49:43.25   −56:38:30.1  -544.00  2.00    38.936289  -41.812374   57.152229
       C3  9.437539        CO43                   Hill_2020  4.044660  fgas=0.7                   Hill_2020  90.065139 103.547337 0.700000 0.130203  23:49:42.78   −56:38:23.8   -86.00 11.00    11.801392    2.287626   13.933097
       C4  6.584329        CO43                   Hill_2020  2.821855  fgas=0.7                   Hill_2020  62.836143  72.242328 0.700000 0.130203  23:49:41.41   −56:38:22.5   -83.00 13.00   -67.301999   11.387626   73.762060
       C5  2.414254        CO43                   Hill_2020  1.034680  fgas=0.7                   Hill_2020  23.039919  26.488854 0.700000 0.130203  23:49:42.13   −56:38:25.8   235.00  6.00   -25.729058  -11.712374   33.906185
       C6  7.462240        CO43                   Hill_2020 13.900000    SEDfit                   Hill_2021 309.520595 330.882835 0.349319 0.064561  23:49:42.84   −56:38:25.1   471.00  3.00    15.265444   -6.812374   17.242558
       C7  2.194776        CO43                   Hill_2020  0.940618  fgas=0.7                   Hill_2020  20.945381  24.080776 0.700000 0.130203  23:49:42.96   −56:38:18.1   631.00  3.00    22.196124   42.187626   57.522000
       C8  5.267464        CO43                   Hill_2020  5.000000    SEDfit                   Hill_2021 111.338343 121.605807 0.513025 0.084432  23:49:41.22   −56:38:24.6   -22.00  4.00   -78.271635   -3.312374   88.325581
       C9  1.975299        CO43                   Hill_2020  0.846557  fgas=0.7                   Hill_2020  18.850843  21.672698 0.700000 0.130203  23:49:42.22   −56:38:28.1   153.00  6.00   -20.532534  -27.812374   42.183180
      C10  2.414254        CO43                   Hill_2020  1.034680  fgas=0.7                   Hill_2020  23.039919  26.488854 0.700000 0.130203  23:49:43.45   −56:38:26.2  -819.00  6.00    50.485564  -14.512374   55.524038
      C11  0.658433        CO43                   Hill_2020  2.000000    SEDfit                   Hill_2021  44.535337  47.193770 0.247677 0.056330  23:49:42.36   −56:38:25.7  -409.00  6.00   -12.449200  -11.012374   20.343705
      C12  2.225448         Cii                   Hill_2020  0.953763  fgas=0.7                   Hill_2020  21.238085  24.417296 0.700000 0.130203  23:49:42.86   −56:38:23.9  -615.00  7.00    16.420516    1.587626   18.794339
      C13  1.755821        CO43                   Hill_2020  0.752495  fgas=0.7                   Hill_2020  16.756305  19.264621 0.700000 0.130203  23:49:42.73   −56:38:25.1   264.00 17.00     8.914176   -6.812374   11.268335
      C14  0.438955        CO43                   Hill_2020  2.400000    SEDfit                   Hill_2021  53.442405  56.281360 0.154619 0.050442  23:49:43.27   −56:38:23.1   101.00  5.00    40.093969    7.187626   47.096450
      C15  1.401522         Cii                   Hill_2020  1.200000    SEDfit                   Hill_2021  26.721202  29.322725 0.538732 0.088720  23:49:41.42   −56:38:14.9  -107.00  8.00   -66.727379   64.587626   92.872220
      C16  0.942842         Cii                   Hill_2020  0.404075  fgas=0.7                   Hill_2020   8.997815  10.344732 0.700000 0.130203  23:49:42.73   −56:38:25.8   231.00 16.00     8.914042  -11.712374   14.785044
      C17  0.789949         Cii                   Hill_2020  1.500000    SEDfit                   Hill_2021  33.401503  35.691452 0.344964 0.064160 23:49:43.406  -56:38:20.93    49.00  7.00    47.947600   22.377626   63.530621
      C18  0.730490         Cii                   Hill_2020  0.600000    SEDfit                   Hill_2021  13.360601  14.691092 0.549038 0.090564  23:49:41.67   −56:38:13.9  -328.00 13.00   -52.291855   71.587626   89.175714
      C19  0.721996         Cii                   Hill_2020  0.309427  fgas=0.7                   Hill_2020   6.890218   7.921642 0.700000 0.130203  23:49:43.86   −56:38:43.4  -441.00  8.00    74.146724 -134.912374  156.914631
      C20  0.433198         Cii                   Hill_2020  2.500000    SEDfit                   Hill_2021  55.669172  58.602370 0.147688 0.050053  23:49:42.28   −56:38:24.0  -557.00  8.00   -17.068283    0.887626   18.909458
      C21  0.297293         Cii                   Hill_2020  0.127411  fgas=0.7                   Hill_2020   2.837149   3.261853 0.700000 0.130203  23:49:43.01   −56:38:27.0   124.00  7.00    25.080450  -20.112374   32.244488
      C22  0.280304         Cii                   Hill_2020  0.120130  fgas=0.7                   Hill_2020   2.675026   3.075461 0.700000 0.130203  23:49:42.51   −56:38:27.4   163.00  3.00    -3.788584  -22.912374   26.787414
      C23  0.237834         Cii                   Hill_2020  0.101929  fgas=0.7                   Hill_2020   2.269719   2.609482 0.700000 0.130203  23:49:42.61   −56:38:26.7   112.00  6.00     1.985296  -18.012374   19.814233
      NL1       NaN         NaN                         NaN       NaN       nan                         NaN        NaN        NaN      NaN      NaN  23:49:40.55   -56:38:06.0      NaN   NaN  -116.970453  126.887626  172.647456
      NL3       NaN         NaN                         NaN       NaN       nan                         NaN        NaN        NaN      NaN      NaN  23:49:44.73   -56:38:40.0      NaN   NaN   124.376251 -111.112374  166.911336
       N1 26.337318        CO43                   Hill_2020 11.287422  fgas=0.7                   Hill_2020 251.344573 288.969313 0.700000 0.130203  23:49:42.53   -56:37:33.2   480.00 10.00    -2.628067  356.487626  397.988041
       N2 10.973882        CO43                   Hill_2020  4.703092  fgas=0.7                   Hill_2020 104.726905 120.403880 0.700000 0.130203  23:49:43.53   -56:37:16.7   493.00 22.00    55.141564  471.987626  543.395994
