  label      Mgas Mgas_method    Mgas_source        M* M*_method      M*_source       Mvir          M     fgas  fdisk    Mvir/M*           RA           DEC      v  u_v         r
     C1 16.460824        CO43      Hill_2020  7.054639  fgas=0.7      Hill_2020 760.333287 783.848749 0.700000   0.03 107.777778  23:49:42.65   −56:38:19.4   15.0  4.0 30.403785
     C2  4.609031        CO43      Hill_2020  6.500000    SEDfit      Hill_2021 359.191991 370.301022 0.414890   0.03  55.260306  23:49:43.25   −56:38:30.1 -544.0  2.0 61.412221
     C3  9.437539        CO43      Hill_2020  4.044660  fgas=0.7      Hill_2020 435.924418 449.406616 0.700000   0.03 107.777778  23:49:42.78   −56:38:23.8  -86.0 11.0 14.402928
     C4  6.584329        CO43      Hill_2020  2.821855  fgas=0.7      Hill_2020 304.133315 313.539500 0.700000   0.03 107.777778  23:49:41.41   −56:38:22.5  -83.0 13.0 65.231556
     C5  2.414254        CO43      Hill_2020  1.034680  fgas=0.7      Hill_2020 111.515549 114.964483 0.700000   0.03 107.777778  23:49:42.13   −56:38:25.8  235.0  6.0 27.703426
     C6  7.462240        CO43      Hill_2020 13.900000    SEDfit      Hill_2021 690.712430 712.074670 0.349319   0.03  49.691542  23:49:42.84   −56:38:25.1  471.0  3.0 20.570364
     C7  2.194776        CO43      Hill_2020  0.940618  fgas=0.7      Hill_2020 101.377772 104.513167 0.700000   0.03 107.777778  23:49:42.96   −56:38:18.1  631.0  3.0 45.955921
     C8  5.267464        CO43      Hill_2020  5.000000    SEDfit      Hill_2021 331.981323 342.248786 0.513025   0.03  66.396265  23:49:41.22   −56:38:24.6  -22.0  4.0 76.021075
     C9  1.975299        CO43      Hill_2020  0.846557  fgas=0.7      Hill_2020  91.239994  94.061850 0.700000   0.03 107.777778  23:49:42.22   −56:38:28.1  153.0  6.0 36.077008
    C10  2.414254        CO43      Hill_2020  1.034680  fgas=0.7      Hill_2020 111.515549 114.964483 0.700000   0.03 107.777778  23:49:43.45   −56:38:26.2 -819.0  6.0 56.002864
    C11  0.658433        CO43      Hill_2020  2.000000    SEDfit      Hill_2021  85.955999  88.614432 0.247677   0.03  42.977999  23:49:42.36   −56:38:25.7 -409.0  6.0 17.536649
    C12  2.225448         Cii      Hill_2020  0.953763  fgas=0.7      Hill_2020 102.794489 105.973700 0.700000   0.03 107.777778  23:49:42.86   −56:38:23.9 -615.0  7.0 19.066507
    C13  1.755821        CO43      Hill_2020  0.752495  fgas=0.7      Hill_2020  81.102217  83.610533 0.700000   0.03 107.777778  23:49:42.73   −56:38:25.1  264.0 17.0 15.399195
    C14  0.438955        CO43      Hill_2020  2.400000    SEDfit      Hill_2021  91.792888  94.631843 0.154619   0.03  38.247037  23:49:43.27   −56:38:23.1  101.0  5.0 42.809401
    C15  1.401522         Cii      Hill_2020  1.200000    SEDfit      Hill_2021  84.115891  86.717414 0.538732   0.03  70.096576  23:49:41.42   −56:38:14.9 -107.0  8.0 88.624159
    C16  0.942842         Cii      Hill_2020  0.404075  fgas=0.7      Hill_2020  43.550337  44.897255 0.700000   0.03 107.777778  23:49:42.73   −56:38:25.8  231.0 16.0 19.022726
    C17  0.789949         Cii      Hill_2020  1.500000    SEDfit      Hill_2021  74.041684  76.331633 0.344964   0.03  49.361123 23:49:43.406  -56:38:20.93   49.0  7.0 53.926007
    C18  0.730490         Cii      Hill_2020  0.600000    SEDfit      Hill_2021  43.019192  44.349682 0.549038   0.03  71.698653  23:49:41.67   −56:38:13.9 -328.0 13.0 84.347878
    C20  0.433198         Cii      Hill_2020  2.500000    SEDfit      Hill_2021  94.840063  97.773261 0.147688   0.03  37.936025  23:49:42.28   −56:38:24.0 -557.0  8.0 14.742099
    C21  0.297293         Cii      Hill_2020  0.127411  fgas=0.7      Hill_2020  13.732088  14.156792 0.700000   0.03 107.777778  23:49:43.01   −56:38:27.0  124.0  7.0 36.325398
    C22  0.280304         Cii      Hill_2020  0.120130  fgas=0.7      Hill_2020  12.947397  13.347832 0.700000   0.03 107.777778  23:49:42.51   −56:38:27.4  163.0  3.0 26.406659
    C23  0.237834         Cii      Hill_2020  0.101929  fgas=0.7      Hill_2020  10.985671  11.325434 0.700000   0.03 107.777778  23:49:42.61   −56:38:26.7  112.0  6.0 21.952053
   LBG3  0.260000         SFR Rotermund_2021  1.000000    SEDfit      Hill_2021  40.740000  42.000000 0.206349   0.03  40.740000 23:49:42.703  -56:38:28.97    NaN  NaN 38.658944
   LBG2  0.234000         SFR Rotermund_2021  0.100286  fgas=0.7 Rotermund_2021  10.808571  11.142857 0.700000   0.03 107.777778 23:49:43.340  -56:38:29.90    NaN  NaN 64.069009
A-north  0.041797         Cii            Nik  0.017913  fgas=0.7            Nik   1.930643   1.990354 0.700000   0.03 107.777778  23:49:42.57 -56:38:15.864  281.2  3.9 54.419975
