label,Mgas,Mgas_method,Mgas_source,M*,M*_method,M*_source,Mvir,RA,DEC,v,u_v
C1,16.46082373224131,CO43,Hill_2020,24.691235598361963,fgas=0.4,Hill_2020,2469.1235598361964,23:49:42.65,−56:38:19.4,15.0,4.0
C2,4.609030645027567,CO43,Hill_2020,6.5,SEDfit,Hill_2021,650.0,23:49:43.25,−56:38:30.1,-544.0,2.0
C3,9.437538939818351,CO43,Hill_2020,4.044659545636437,fgas=0.7,Hill_2020,404.46595456364366,23:49:42.78,−56:38:23.8,-86.0,11.0
C4,6.584329492896524,CO43,Hill_2020,2.8218554969556533,fgas=0.7,Hill_2020,282.1855496955653,23:49:41.41,−56:38:22.5,-83.0,13.0
C5,2.4142541473953925,CO43,Hill_2020,1.0346803488837397,fgas=0.7,Hill_2020,103.46803488837398,23:49:42.13,−56:38:25.8,235.0,6.0
C6,7.462240091949393,CO43,Hill_2020,13.9,SEDfit,Hill_2021,1390.0,23:49:42.84,−56:38:25.1,471.0,3.0
C7,2.1947764976321746,CO43,Hill_2020,0.9406184989852178,fgas=0.7,Hill_2020,94.06184989852177,23:49:42.96,−56:38:18.1,631.0,3.0
C8,5.267463594317219,CO43,Hill_2020,5.0,SEDfit,Hill_2021,500.0,23:49:41.22,−56:38:24.6,-22.0,4.0
C9,1.9752988478689573,CO43,Hill_2020,0.846556649086696,fgas=0.7,Hill_2020,84.6556649086696,23:49:42.22,−56:38:28.1,153.0,6.0
C10,2.4142541473953925,CO43,Hill_2020,1.0346803488837397,fgas=0.7,Hill_2020,103.46803488837398,23:49:43.45,−56:38:26.2,-819.0,6.0
C11,0.6584329492896523,CO43,Hill_2020,2.0,SEDfit,Hill_2021,200.0,23:49:42.36,−56:38:25.7,-409.0,6.0
C12,2.225447699583987,Cii,Hill_2020,0.9537632998217088,fgas=0.7,Hill_2020,95.37632998217089,23:49:42.86,−56:38:23.9,-615.0,7.0
C13,1.7558211981057399,CO43,Hill_2020,0.7524947991881743,fgas=0.7,Hill_2020,75.24947991881743,23:49:42.73,−56:38:25.1,264.0,17.0
C14,0.43895529952643497,CO43,Hill_2020,2.4,SEDfit,Hill_2021,240.0,23:49:43.27,−56:38:23.1,101.0,5.0
C15,1.4015224062265565,Cii,Hill_2020,1.2,SEDfit,Hill_2021,120.0,23:49:41.42,−56:38:14.9,-107.0,8.0
C16,0.9428423460069564,Cii,Hill_2020,0.40407529114583846,fgas=0.7,Hill_2020,40.407529114583845,23:49:42.73,−56:38:25.8,231.0,16.0
C17,0.7899489926004228,Cii,Hill_2020,1.5,SEDfit,Hill_2021,150.0,23:49:43.406,-56:38:20.93,49.0,7.0
C18,0.7304904662756598,Cii,Hill_2020,0.6,SEDfit,Hill_2021,60.0,23:49:41.67,−56:38:13.9,-328.0,13.0
C19,0.7219963910864079,Cii,Hill_2020,0.30942702475131767,fgas=0.7,Hill_2020,30.942702475131767,23:49:43.86,−56:38:43.4,-441.0,8.0
C20,0.4331978346518448,Cii,Hill_2020,2.5,SEDfit,Hill_2021,250.0,23:49:42.28,−56:38:24.0,-557.0,8.0
C21,0.29729263162381503,Cii,Hill_2020,0.12741112783877787,fgas=0.7,Hill_2020,12.741112783877787,23:49:43.01,−56:38:27.0,124.0,7.0
C22,0.2803044812453113,Cii,Hill_2020,0.12013049196227629,fgas=0.7,Hill_2020,12.013049196227628,23:49:42.51,−56:38:27.4,163.0,3.0
C23,0.23783410529905205,Cii,Hill_2020,0.10192890227102232,fgas=0.7,Hill_2020,10.192890227102232,23:49:42.61,−56:38:26.7,112.0,6.0
