       JobID    JobName   Priority               Start    Elapsed      NCPUS    CPUTime ExitCode      State 
------------ ---------- ---------- ------------------- ---------- ---------- ---------- -------- ---------- 
4286063      mg A-nort+    1325276 2021-06-05T20:41:51   00:16:22          1   00:16:22      0:0  COMPLETED 
4286065      mg A-sout+    1325301 2021-06-05T20:41:51   00:21:33          1   00:21:33      0:0  COMPLETED 
4286066      mg C10.txt    1325301 2021-06-05T20:41:51   00:19:03          1   00:19:03      0:0  COMPLETED 
4286068      mg C11.txt    1325301 2021-06-05T20:41:51   00:40:22          1   00:40:22      0:0    TIMEOUT 
4286071      mg C12.txt    1325301 2021-06-05T20:41:52   00:19:02          1   00:19:02      0:0  COMPLETED 
4286072      mg C13.txt    1325301 2021-06-05T20:41:52   00:18:59          1   00:18:59      0:0  COMPLETED 
4286074      mg C14.txt    1325301 2021-06-05T20:41:52   00:18:54          1   00:18:54      0:0  COMPLETED 
4286077      mg C15.txt    1325301 2021-06-05T20:41:52   00:18:54          1   00:18:54      0:0  COMPLETED 
4286079      mg C16.txt    1325301 2021-06-05T20:41:52   00:19:24          1   00:19:24      0:0  COMPLETED 
4286083      mg C17.txt    1325301 2021-06-05T20:41:52   00:19:05          1   00:19:05      0:0  COMPLETED 
4286087      mg C18.txt    1325301 2021-06-05T20:41:52   00:18:51          1   00:18:51      0:0  COMPLETED 
4286089       mg C1.txt    1325301 2021-06-05T20:41:52   00:19:45          1   00:19:45      0:0  COMPLETED 
4286093      mg C20.txt    1325301 2021-06-05T20:41:52   00:34:04          1   00:34:04      0:0  COMPLETED 
4286095      mg C21.txt    1325301 2021-06-05T20:41:52   00:19:07          1   00:19:07      0:0  COMPLETED 
4286097      mg C22.txt    1325301 2021-06-05T20:41:53   00:16:24          1   00:16:24      0:0  COMPLETED 
4286100      mg C23.txt    1325301 2021-06-05T20:41:53   00:27:58          1   00:27:58      0:0  COMPLETED 
4286101       mg C2.txt    1325301 2021-06-05T20:41:53   00:14:53          1   00:14:53      0:0  COMPLETED 
4286103       mg C3.txt    1325301 2021-06-05T20:41:53   00:18:59          1   00:18:59      0:0  COMPLETED 
4286104       mg C4.txt    1325301 2021-06-05T20:41:53   00:18:59          1   00:18:59      0:0  COMPLETED 
4286105       mg C5.txt    1325301 2021-06-05T20:41:53   00:20:34          1   00:20:34      0:0  COMPLETED 
4286106       mg C6.txt    1325301 2021-06-05T20:43:33   00:17:21          1   00:17:21      0:0  COMPLETED 
4286107       mg C7.txt    1325301 2021-06-05T20:43:33   00:18:19          1   00:18:19      0:0  COMPLETED 
4286108       mg C8.txt    1325301 2021-06-05T20:43:33   00:21:23          1   00:21:23      0:0  COMPLETED 
4286110       mg C9.txt    1325301 2021-06-05T20:43:33   00:20:51          1   00:20:51      0:0  COMPLETED 
4286111      mg E-sout+    1325276 2021-06-05T20:43:33   00:19:48          1   00:19:48      0:0  COMPLETED 
4286112      mg F-east+    1325276 2021-06-05T20:43:33   00:12:21          1   00:12:21      0:0  COMPLETED 
4286113      mg LAE-ID+    1325301 2021-06-05T20:43:33   00:13:37          1   00:13:37      0:0  COMPLETED 
4286114      mg LBG2.t+    1325301 2021-06-05T20:43:33   00:13:36          1   00:13:36      0:0  COMPLETED 
4286117      mg LBG3.t+    1325301 2021-06-05T20:43:33   00:12:22          1   00:12:22      0:0  COMPLETED 
4286118      mg N-west+    1325301 2021-06-05T20:43:33   00:11:48          1   00:11:48      0:0  COMPLETED 
4286119      mg South5+    1325301 2021-06-05T20:43:33   00:12:04          1   00:12:04      0:0  COMPLETED 
4545081      mg C11.txt    2426669 2021-06-08T16:05:00   00:17:47          1   00:17:47      0:0  COMPLETED 
