label,Mgas,Mdyn,M*,Mvir
A,12.0,115.0,5.142857142857143,514.2857142857143
B,11.2,84.0,4.8,480.0
C,6.7,14.0,2.871428571428572,287.14285714285717
D,8.4,175.0,3.6000000000000005,360.00000000000006
E,4.8,24.0,2.0571428571428574,205.71428571428575
F,3.4,124.0,1.4571428571428573,145.71428571428572
G,1.6,12.0,0.6857142857142858,68.57142857142858
H,4.4,44.0,1.885714285714286,188.57142857142858
I,2.2,53.0,0.942857142857143,94.28571428571429
J,2.2,23.0,0.942857142857143,94.28571428571429
K,3.1,15.0,1.3285714285714287,132.85714285714286
L,3.3,24.0,1.4142857142857144,141.42857142857144
M,1.2,4.0,0.5142857142857143,51.42857142857144
N,1.0,9.0,0.4285714285714286,42.85714285714286
