   name               M            fgas            Mgas             Mdm           Mdisk          Mbulge           Mstar             Mbh        Mstellar   Mgas/particle    Mdm/particle  Mdisk/particle  Mbulge/particle  Mstar/particle    Mbh/particle  Mstellar/particle
0   000    4.627702e+09           0.707    4.222763e+08    3.980043e+09    1.750028e+08               0               0    5.038029e+07    1.750028e+08     1.00542e+07    5.038029e+07    1.029428e+07              NaN             NaN    5.038029e+07       1.029428e+07
1   001    1.159347e+10       0.7069993    1.063526e+09      1.0039e+10    4.407553e+08               0               0    5.019499e+07    4.407553e+08    1.003326e+07    5.019499e+07    1.001717e+07              NaN             NaN    5.019499e+07       1.001717e+07
2   002     2.65008e+11       0.6969013    2.404287e+10    2.304583e+11    6.727435e+09               0    3.729373e+09    5.002313e+07    1.045681e+10    1.007664e+07     5.00235e+07    1.001106e+07              NaN         9562496    5.002313e+07            9846336
3   003    4.721189e+11       0.2475759    6.583613e+09    4.454769e+11    1.901805e+10               0     9.90637e+08    4.974108e+07    2.000869e+10    1.027085e+07    5.001425e+07    1.000423e+07              NaN         8539975    4.974108e+07            9920024
4   004    2.442862e+11       0.7037173    2.237937e+10    2.124345e+11    6.201317e+09               0     3.22096e+09    5.001954e+07    9.422277e+09     1.00808e+07     5.00199e+07    1.001828e+07              NaN         9501357    5.001954e+07            9835362
5   005     1.92744e+11       0.7005998    1.757853e+10    1.676033e+11    4.892685e+09               0    2.619469e+09    5.001437e+07    7.512154e+09    1.007943e+07     5.00159e+07    1.000549e+07              NaN         9525342    5.001437e+07            9832662
6   006    5.630219e+11       0.1690546    4.800822e+09    5.345743e+11    2.334857e+10               0    2.486743e+08    4.957541e+07    2.359724e+10    1.019283e+07    5.001631e+07    1.000367e+07              NaN         7535586    4.957541e+07            9969261
7   007    2.933551e+11       0.5383203    1.400872e+10    2.672821e+11    9.900685e+09               0    2.113616e+09     4.99553e+07     1.20143e+10     1.01146e+07    5.001537e+07     1.00108e+07              NaN         9352281     4.99553e+07            9888313
8   008    1.035182e+11       0.7002929    9.435193e+09    8.999512e+10    2.627274e+09               0    1.410741e+09    4.988896e+07    4.038016e+09    1.025564e+07    5.002508e+07    1.002777e+07              NaN         8602081    4.988896e+07            9478910
9   009    3.570612e+11       0.3448951     7.90029e+09    3.341052e+11    1.381922e+10               0    1.186847e+09    4.970652e+07    1.500607e+10    1.028684e+07    5.001574e+07    1.000668e+07              NaN         8477479    4.970652e+07            9865921
10  010    1.469948e+11       0.5502047    7.322613e+09    1.336361e+11    4.905735e+09               0    1.080541e+09    4.986081e+07    5.986276e+09    1.025576e+07     5.00135e+07     1.00117e+07              NaN         8575720    4.986081e+07            9717981
11  011     1.80664e+12       0.6967966    1.639041e+11    1.571365e+12     4.58689e+10               0    2.545215e+10    5.001479e+07    7.132105e+10    1.002349e+07    5.001479e+07    1.000412e+07              NaN         9876658    5.001479e+07            9958259
12  012     5.86239e+11       0.1613192     4.73323e+09    5.568486e+11     2.43575e+10               0    2.500404e+08     4.96188e+07    2.460754e+10    1.015715e+07    5.001784e+07    1.000308e+07              NaN         7813761     4.96188e+07            9974683
13  013    3.266824e+10       0.7241434    3.076388e+09    2.836999e+10    1.036586e+09               0    1.353388e+08    4.992971e+07    1.171925e+09    1.018672e+07    5.003526e+07    1.006394e+07              NaN         7123097    4.992971e+07            9605944
14  014    3.080371e+10       0.7216714    2.890684e+09    2.674828e+10    9.773497e+08               0    1.375066e+08    4.988935e+07    1.114856e+09    1.017847e+07    4.999678e+07    1.007577e+07              NaN         7639256    4.988935e+07            9694403
15  015    2.610264e+10       0.7069997    2.402844e+09    2.269399e+10    9.958051e+08               0               0      1.0003e+07    9.958051e+08    1.001185e+07    5.009711e+07    1.005864e+07              NaN             NaN      1.0003e+07       1.005864e+07
16  016    1.558996e+12       0.4140438    4.601004e+10    1.447822e+12    5.810387e+10               0    7.009707e+09    4.999041e+07    6.511358e+10    1.009656e+07    5.001632e+07    1.000411e+07              NaN         9434329    4.999041e+07            9939486
17  017    1.035824e+12       0.6994168    9.432503e+10    9.009114e+11    2.629817e+10               0    1.423921e+10    5.001451e+07    4.053738e+10    1.001859e+07    5.001451e+07    1.000311e+07              NaN         9902090    5.001451e+07            9967391
18  018    7.226799e+11        0.699417    6.580818e+10    6.285398e+11    1.834756e+10               0    9.934308e+09     5.00151e+07    2.828186e+10    1.001647e+07     5.00151e+07    1.000412e+07              NaN         9924384     5.00151e+07            9975966
19  019     2.65008e+11       0.6969013    2.404287e+10    2.304583e+11    6.727435e+09               0    3.729373e+09    5.002313e+07    1.045681e+10    1.007664e+07     5.00235e+07    1.001106e+07              NaN         9562496    5.002313e+07            9846336
20  020     3.30986e+12       0.3488967     7.45545e+10    3.096124e+12     1.27845e+11               0    1.128699e+10    4.998885e+07     1.39132e+11     1.01036e+07    5.001493e+07    1.000352e+07              NaN         9390176    4.998885e+07            9950790
21  021      2.4092e+11       0.7007349    2.197739e+10    2.095066e+11    6.115849e+09               0    3.270103e+09    5.001315e+07    9.385952e+09    1.008137e+07    5.001351e+07    1.000957e+07              NaN         9533828    5.001315e+07            9838524
22  022    1.216463e+12       0.5152687    5.292089e+10    1.113707e+12    4.211143e+10               0    7.673112e+09     5.00145e+07    4.978454e+10    1.007249e+07    5.001604e+07    1.000509e+07              NaN         9555557     5.00145e+07            9933068
23  023    2.168318e+11       0.6985869    1.971903e+10    1.885549e+11     3.52838e+09               0    4.979612e+09    4.984774e+07    8.507992e+09    1.029177e+07    5.001457e+07    1.002381e+07              NaN         9004724    4.984774e+07            9401096
24  024    1.809213e+10       0.7027405    1.651746e+09    1.569156e+10    6.886783e+08               0    1.001058e+07    5.013279e+07    6.986889e+08    1.001058e+07    5.013279e+07    1.012762e+07              NaN    1.001058e+07    5.013279e+07       1.012593e+07
25  025    6.581449e+09       0.6952155    5.921048e+08    5.679502e+09    2.495448e+08               0    1.003567e+07    5.026108e+07    2.595805e+08    1.003567e+07    5.026108e+07     1.03977e+07              NaN    1.003567e+07    5.026108e+07       1.038322e+07
26  026     6.27177e+09       0.6945989    5.635859e+08    5.410292e+09    2.377333e+08               0    1.006403e+07    5.009529e+07    2.477973e+08    1.006403e+07    5.009529e+07    1.033623e+07              NaN    1.006403e+07    5.009529e+07       1.032489e+07
27  027    2.572191e+10       0.7013064    2.345072e+09    2.232798e+10    9.797537e+08               0    1.903675e+07    5.006047e+07    9.987904e+08    1.002167e+07    5.006274e+07    1.010055e+07              NaN         9518377    5.006047e+07       1.008879e+07
28  028    2.353872e+11       0.2063091    2.600274e+09    2.227334e+11     9.97699e+09               0     2.65133e+07    4.998808e+07     1.00035e+10    1.003967e+07    5.001874e+07    1.000701e+07              NaN         8837767    4.998808e+07        1.00035e+07
29  029    7.133443e+09       0.6973822     6.44086e+08    6.159786e+09     2.70608e+08               0         8882811    5.007956e+07    2.794908e+08    1.006384e+07    5.007956e+07    1.002252e+07              NaN         8882811    5.007956e+07            9981815
30  030    2.843958e+09           0.707    2.580616e+08    2.428358e+09    1.069478e+08               0               0    5.059079e+07    1.069478e+08    1.032247e+07    5.059079e+07    1.069478e+07              NaN             NaN    5.059079e+07       1.069478e+07
