        name               M            fgas            Mgas             Mdm           Mdisk          Mbulge           Mstar             Mbh        Mstellar
0    A-north       0.4636325       0.6966427      0.04160901       0.3989046      0.01791837               0    0.0002005253           0.005       0.0181189
1    A-south        1.160228       0.6960076       0.1046991          1.0048      0.04512843               0    0.0006005684           0.005      0.04572899
2        C10        26.50169       0.6427758        2.217556        23.04673         1.03499               0       0.1974217           0.005        1.232412
3        C11        47.21282       0.6908566        1.837147        44.54859        0.797769               0      0.02431435           0.005       0.8220834
4        C12        24.42952       0.6414113        2.039793        21.24435       0.9540493               0       0.1863216           0.005        1.140371
5        C13         19.2753       0.6305167        1.582009        16.76123       0.7527204               0       0.1743383           0.005       0.9270587
6        C14        56.30313       0.6931419        1.968389        53.45833       0.8519419               0      0.01947554           0.005       0.8714174
7        C15        29.33642       0.6446104        1.677471        26.72911       0.7806906               0       0.1441406           0.005       0.9248311
8        C16        10.35273       0.6634111       0.8938276        9.000413       0.4041962               0      0.04929701           0.005       0.4534933
9        C17        35.70705       0.6904292        1.581522        33.41142       0.6871907               0      0.02192329           0.005        0.709114
10       C18         14.7004       0.6826587       0.9085428        13.36451       0.3992667               0      0.02307939           0.005       0.4223461
11        C1        180.6649       0.6825902        16.05624        157.1374        7.056754               0       0.4095233           0.005        7.466277
12       C20        58.62484       0.6915955        2.029195        55.68576       0.8802232               0      0.02465953           0.005       0.9048828
13       C21        3.267731        0.696467        0.295881          2.8379       0.1274494               0     0.001500918           0.005       0.1289503
14       C22        3.081282       0.6965037       0.2789874        2.675728       0.1201662               0     0.001400439           0.005       0.1215667
15       C23        2.615164       0.6970563        0.236905        2.270299       0.1019595               0     0.001000443           0.005       0.1029599
16        C2        155.9005       0.6890649        7.657138        144.7831        3.333709               0       0.1215151           0.005        3.455224
17        C3        103.5833       0.6790019        9.157183        90.09204        4.045872               0       0.2831861           0.005        4.329058
18        C4        72.26889       0.6870404        6.464366        62.85488        2.822701               0       0.1219371           0.005        2.944638
19        C5        26.50169       0.6422931        2.215891        23.04673         1.03499               0        0.199087           0.005        1.234077
20        C6        330.9869       0.6889965        14.72292        309.6133        6.410593               0        0.235129           0.005        6.645722
21        C7        24.09289       0.6395103        2.005718        20.95156       0.9409002               0       0.1897158           0.005        1.130616
22        C8        121.6472       0.6888104        7.074457        111.3716        3.081163               0       0.1149231           0.005        3.196086
23        C9         21.6841       0.6362747        1.796014        18.85639       0.8468106               0       0.1798776           0.005        1.026688
24   E-south          1.8101       0.6965937       0.1637298        1.570057      0.07051303               0    0.0008006346           0.005      0.07131367
25    F-east        0.659019             0.7      0.05961797       0.5688505      0.02555056               0               0           0.005      0.02555056
26  LAE-ID72       0.6280678       0.6987654      0.05669665       0.5419294       0.0243415               0    0.0001001708           0.005      0.02444167
27      LBG2        2.573085       0.6982051       0.2334702        2.233699       0.1003159               0    0.0006001804           0.005        0.100916
28      LBG3        23.53962        0.688122       0.8672937        22.27425       0.3781133               0      0.01497078           0.005       0.3930841
29    N-west       0.7142366       0.6967492      0.06435014       0.6168789       0.0277073               0     0.000300234           0.005      0.02800754
30    South5        0.285237       0.6917647       0.0252501        0.243736       0.0109503               0    0.0003005965           0.005       0.0112509
