   name               M            fgas            Mgas             Mdm           Mdisk          Mbulge           Mstar             Mbh        Mstellar   Mgas/particle    Mdm/particle  Mdisk/particle  Mbulge/particle  Mstar/particle    Mbh/particle  Mstellar/particle
0   000     4.59133e+09           0.707    4.222763e+08    3.989046e+09    1.750028e+08               0               0         5005076    1.750028e+08         1000655         5005076         1005763              NaN             NaN         5005076            1005763
1   001    1.155728e+10       0.7009408    1.054412e+09      1.0048e+10    4.407553e+08               0         9113749         4995276    4.498691e+08         1001341         5001494         1001717              NaN        911374.9         4995276             999709
2   002    2.649719e+11       0.7005694    2.416942e+10    2.304673e+11    6.727435e+09               0    3.602823e+09         5001568    1.033026e+10         1003880         5001568         1000362              NaN        977169.3         5001568           992149.3
3   003    4.720831e+11       0.2484284    6.606282e+09    4.454859e+11    1.901805e+10               0     9.67968e+08         4926407    1.998602e+10         1017603         5001526         1000318              NaN        897097.3         4926407           994774.7
4   004    2.442502e+11        0.695459    2.211674e+10    2.124435e+11    6.201317e+09               0    3.483587e+09         5001496    9.684904e+09         1003618         5001496         1000374              NaN          979912         5001496           992916.1
5   005     1.92708e+11       0.6976955    1.750566e+10    1.676123e+11    4.892685e+09               0     2.69234e+09         5001560    7.585025e+09         1005668         5001560         1000345              NaN        967076.2         5001560           988276.9
6   006    5.629863e+11       0.1688058    4.793757e+09    5.345833e+11    2.334857e+10               0    2.557385e+08         4914422     2.36043e+10         1007727         5001528         1000324              NaN        881856.9         4914422           998870.3
7   007    2.933191e+11        0.538697    1.401852e+10    2.672911e+11    9.900685e+09               0    2.103813e+09         4972303     1.20045e+10         1013045         5001518         1000372              NaN        923130.1         4972303           985914.7
8   008    1.034823e+11       0.7004472    9.437271e+09    9.000413e+10    2.627274e+09               0    1.408663e+09         4973308    4.035938e+09         1011172         5001619         1000485              NaN        933507.7         4973308           976042.9
9   009    3.570255e+11       0.3518119    8.058727e+09    3.341142e+11    1.381922e+10               0     1.02841e+09         4949730    1.484763e+10         1013676         5001485         1000305              NaN        906886.9         4949730           993218.8
10  010    1.469589e+11       0.5491833     7.30902e+09    1.336451e+11    4.905735e+09               0    1.094134e+09         4939619    5.999869e+09         1016412         5001499         1000354              NaN        904990.6         4939619           981493.4
11  011    1.806604e+12       0.6963265    1.637935e+11    1.571374e+12     4.58689e+10               0    2.556273e+10         5001507    7.143163e+10         1000302         5001507         1000303              NaN         1000302         5001507            1000303
12  012    5.862033e+11       0.1606898    4.714764e+09    5.568576e+11     2.43575e+10               0    2.685063e+08         4917778    2.462601e+10         1007859         5001506         1000308              NaN        886159.4         4917778           998905.2
13  013    3.263226e+10       0.7011127    2.978547e+09      2.8379e+10    1.036586e+09               0    2.331805e+08         4954645    1.269767e+09         1014491         5001585         1000566              NaN        851023.7         4954645           969287.6
14  014    3.076777e+10       0.7079885    2.835876e+09    2.675728e+10    9.773497e+08               0    1.923143e+08         4949692    1.169664e+09         1012451         5001361         1000358              NaN        850948.4         4949692           972289.3
15  015    2.610665e+10       0.7006387    2.381225e+09    2.270299e+10    9.958051e+08               0    2.161893e+07         5001761    1.017424e+09         1000515         5001761         1000809              NaN        982678.5         5001761            1000417
16  016     1.55896e+12        0.413889    4.599284e+10    1.447831e+12    5.810387e+10               0    7.026908e+09         4991156    6.513078e+10         1008549         5001508         1000308              NaN        949582.1         4991156           994575.6
17  017    1.035788e+12       0.7003279    9.444792e+10    9.009204e+11    2.629817e+10               0    1.411632e+10         5001501     4.04145e+10         1000306         5001501         1000311              NaN         1000306         5001501            1000309
18  018    7.226439e+11       0.7051967    6.635198e+10    6.285488e+11    1.834756e+10               0    9.390501e+09         5001503    2.773806e+10         1002129         5001503         1000303              NaN        987642.1         5001503           995980.5
19  019    2.649719e+11       0.7005694    2.416942e+10    2.304673e+11    6.727435e+09               0    3.602823e+09         5001568    1.033026e+10         1003880         5001568         1000362              NaN        977169.3         5001568           992149.3
20  020    3.309824e+12       0.3502359    7.484067e+10    3.096133e+12     1.27845e+11               0    1.100082e+10         4994026    1.388458e+11         1007155         5001499         1000305              NaN          956094         4994026           996653.4
21  021    2.408839e+11       0.6980067    2.189182e+10    2.095156e+11    6.115849e+09               0     3.35567e+09         5001566    9.471519e+09         1003384         5001566         1000302              NaN        980903.2         5001566           993342.3
22  022    1.216427e+12       0.5133424    5.272305e+10    1.113716e+12    4.211143e+10               0    7.870952e+09         5001510    4.998238e+10         1005570         5001510         1000319              NaN        966472.5         5001510           994832.6
23  023     2.16796e+11       0.6992358    1.973734e+10    1.885639e+11     3.52838e+09               0    4.961298e+09         4991157    8.489678e+09         1014773         5001564         1000391              NaN        946631.9         4991157             968257
24  024      1.8056e+10       0.7009255     1.64748e+09    1.570057e+10    6.886783e+08               0    1.427665e+07         5001773     7.02955e+08         1000899         5001773         1000986              NaN        951776.9         5001773           999935.9
25  025    6.545193e+09       0.7022933    5.981329e+08    5.688505e+09    2.495448e+08               0         4007591         5003083    2.535524e+08         1001898         5003083         1002188              NaN         1001898         5003083            1002183
26  026    6.235681e+09       0.7070025    5.736499e+08    5.419294e+09    2.377333e+08               0               0         5003965    2.377333e+08         1001134         5003965         1003094              NaN             NaN         5003965            1003094
27  027    2.568585e+10         0.69997    2.340603e+09    2.233699e+10    9.797537e+08               0    2.350544e+07         5001564    1.003259e+09         1000685         5001564         1000770              NaN        979393.2         5001564            1000258
28  028    2.353512e+11       0.2063589    2.600902e+09    2.227425e+11     9.97699e+09               0    2.588567e+07         4973124    1.000288e+10         1001117         5001515         1000300              NaN        924488.3         4973124            1000088
29  029    7.097369e+09       0.7037469    6.499644e+08    6.168789e+09     2.70608e+08               0         3004458         5003073    2.736125e+08         1001486         5003073         1002252              NaN         1001486         5003073            1002243
30  030    2.807375e+09           0.707    2.580616e+08    2.437361e+09    1.069478e+08               0               0         5004847    1.069478e+08         1004131         5004847         1008941              NaN             NaN         5004847            1008941
